Squad,Pl,Age,Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
Atalanta,29,26.3,51.1,38,418,3420,38.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,97.8,715,1754,1.89,1.5,3.39,1.76,3.26,1.52,1.16,2.68,1.42,2.57
Bologna,28,25.2,58.1,38,418,3420,38.0,52,32,84,48,4,5,85,2,47.9,44.0,32.1,76.1,660,1453,1.37,0.84,2.21,1.26,2.11,1.26,0.84,2.11,1.16,2.0
Cagliari,29,26.1,42.1,38,418,3420,38.0,41,30,71,37,4,6,77,4,42.9,38.4,29.1,67.5,529,1109,1.08,0.79,1.87,0.97,1.76,1.13,0.77,1.9,1.01,1.78
Empoli,34,26.0,44.0,38,418,3420,38.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,58.3,524,1056,0.68,0.5,1.18,0.55,1.05,0.95,0.68,1.63,0.85,1.53
Fiorentina,30,27.0,57.3,38,418,3420,38.0,60,41,101,56,4,8,80,0,51.7,45.4,35.3,80.7,621,1656,1.58,1.08,2.66,1.47,2.55,1.36,0.93,2.29,1.19,2.12
Frosinone,34,24.3,49.7,38,418,3420,38.0,44,29,73,36,8,10,68,2,45.8,37.9,30.2,68.1,563,1326,1.16,0.76,1.92,0.95,1.71,1.2,0.79,2.0,1.0,1.79
Genoa,34,26.7,44.1,38,418,3420,38.0,43,27,70,38,5,6,79,3,35.7,31.0,22.8,53.8,468,1079,1.13,0.71,1.84,1.0,1.71,0.94,0.6,1.54,0.82,1.42
Hellas Verona,36,25.7,44.4,38,418,3420,38.0,38,29,67,35,3,7,88,6,38.0,32.4,27.2,59.6,539,1122,1.0,0.76,1.76,0.92,1.68,1.0,0.72,1.72,0.85,1.57
Inter,27,29.1,57.1,38,418,3420,38.0,87,60,147,74,13,14,46,1,78.2,67.4,55.6,123.0,720,1620,2.29,1.58,3.87,1.95,3.53,2.06,1.46,3.52,1.77,3.24
Juventus,31,26.5,48.5,38,418,3420,38.0,52,37,89,49,3,5,87,2,54.6,50.6,39.6,90.2,709,1473,1.37,0.97,2.34,1.29,2.26,1.44,1.04,2.48,1.33,2.37
Lazio,22,28.2,53.3,38,418,3420,38.0,46,30,76,42,4,4,101,5,46.5,43.4,32.9,76.4,716,1528,1.21,0.79,2.0,1.11,1.89,1.22,0.87,2.09,1.14,2.01
Lecce,26,24.9,44.9,38,418,3420,38.0,30,23,53,27,3,5,89,5,43.1,39.2,30.6,69.9,635,1183,0.79,0.61,1.39,0.71,1.32,1.14,0.81,1.94,1.03,1.84
Milan,35,26.6,56.9,38,418,3420,38.0,76,56,132,70,6,8,82,8,66.2,60.0,46.0,106.0,898,1569,2.0,1.47,3.47,1.84,3.32,1.74,1.21,2.95,1.58,2.79
Monza,31,26.8,53.5,38,418,3420,38.0,38,29,67,34,4,5,88,5,39.5,35.9,27.8,63.8,723,1248,1.0,0.76,1.76,0.89,1.66,1.04,0.73,1.77,0.95,1.68
Napoli,29,27.2,60.9,38,418,3420,38.0,54,36,90,48,6,10,77,5,61.4,53.3,42.9,96.2,803,1758,1.42,0.95,2.37,1.26,2.21,1.62,1.13,2.74,1.4,2.53
Roma,30,27.7,54.9,38,418,3420,38.0,64,44,108,53,11,12,95,3,51.4,42.3,34.4,76.7,682,1469,1.68,1.16,2.84,1.39,2.55,1.35,0.91,2.26,1.11,2.02
Salernitana,39,27.3,44.5,38,418,3420,38.0,32,25,57,30,2,2,91,3,30.3,28.7,22.4,51.1,499,1119,0.84,0.66,1.5,0.79,1.45,0.8,0.59,1.39,0.76,1.34
Sassuolo,30,26.4,43.8,38,418,3420,38.0,42,28,70,35,7,8,71,4,39.8,33.8,25.9,59.7,636,1301,1.11,0.74,1.84,0.92,1.66,1.05,0.68,1.73,0.89,1.57
Torino,30,26.4,51.6,38,418,3420,38.0,35,29,64,33,2,2,75,2,37.7,36.1,30.1,66.2,710,1333,0.92,0.76,1.68,0.87,1.63,0.99,0.79,1.78,0.95,1.74
Udinese,32,25.7,39.3,38,418,3420,38.0,36,23,59,33,3,4,94,5,39.1,36.8,28.0,64.9,601,1022,0.95,0.61,1.55,0.87,1.47,1.03,0.74,1.77,0.97,1.71
